sentence_id,words,labels
215,snapdragon,B-PERFORMANCE
215,780g,I-PERFORMANCE
216,snapdragon,B-PERFORMANCE
216,4,I-PERFORMANCE
216,gen,I-PERFORMANCE
216,1,I-PERFORMANCE
217,snapdragon,B-PERFORMANCE
217,8,I-PERFORMANCE
217,gen,I-PERFORMANCE
217,3,I-PERFORMANCE
219,snapdragon,B-PERFORMANCE
219,730,I-PERFORMANCE
220,exynos,B-PERFORMANCE
220,7884,I-PERFORMANCE
221,unisoc,B-PERFORMANCE
221,t606,I-PERFORMANCE
222,a15,B-PERFORMANCE
222,bionic,I-PERFORMANCE
223,snapdragon,B-PERFORMANCE
223,636,I-PERFORMANCE
224,snapdragon,B-PERFORMANCE
224,765g,I-PERFORMANCE
225,snapdragon,B-PERFORMANCE
225,778g,I-PERFORMANCE
226,a10x,B-PERFORMANCE
226,fusion,I-PERFORMANCE
227,a12,B-PERFORMANCE
227,bionic,I-PERFORMANCE
228,snapdragon,B-PERFORMANCE
228,820,I-PERFORMANCE
2,snapdragon,B-PERFORMANCE
2,865,I-PERFORMANCE
2,plus,I-PERFORMANCE
3,exynos,B-PERFORMANCE
3,7885,I-PERFORMANCE
4,tiger,B-PERFORMANCE
4,t616,I-PERFORMANCE
5,dimensity,B-PERFORMANCE
5,7200,I-PERFORMANCE
6,dimensity,B-PERFORMANCE
6,800,I-PERFORMANCE
7,helio,B-PERFORMANCE
7,g37,I-PERFORMANCE
8,kirin,B-PERFORMANCE
8,710,I-PERFORMANCE
9,snapdragon,B-PERFORMANCE
9,855,I-PERFORMANCE
9,plus,I-PERFORMANCE
10,snapdragon,B-PERFORMANCE
10,675,I-PERFORMANCE
11,snapdragon,B-PERFORMANCE
11,7,I-PERFORMANCE
11,gen,I-PERFORMANCE
11,2,I-PERFORMANCE
13,dimensity,B-PERFORMANCE
14,a16,B-PERFORMANCE
14,bionic,I-PERFORMANCE
15,kirin,B-PERFORMANCE
15,9010,I-PERFORMANCE
16,dimensity,B-PERFORMANCE
16,6300,I-PERFORMANCE
17,snapdragon,B-PERFORMANCE
17,730g,I-PERFORMANCE
18,a11,B-PERFORMANCE
18,bionic,I-PERFORMANCE
19,exynos,B-PERFORMANCE
19,990,I-PERFORMANCE
20,kirin,B-PERFORMANCE
20,990,I-PERFORMANCE
20,5g,I-PERFORMANCE
21,exynos,B-PERFORMANCE
21,1330,I-PERFORMANCE
22,dimensity,B-PERFORMANCE
22,1080,I-PERFORMANCE
24,a14,B-PERFORMANCE
24,bionic,I-PERFORMANCE
25,snapdragon,B-PERFORMANCE
25,480,I-PERFORMANCE
25,plus,I-PERFORMANCE
26,a12x,B-PERFORMANCE
26,bionic,I-PERFORMANCE
27,tensor,B-PERFORMANCE
28,snapdragon,B-PERFORMANCE
28,7,I-PERFORMANCE
28,gen,I-PERFORMANCE
28,3,I-PERFORMANCE
29,tegra,B-PERFORMANCE
29,x1,I-PERFORMANCE
30,snapdragon,B-PERFORMANCE
30,680,I-PERFORMANCE
31,a13,B-PERFORMANCE
31,bionic,I-PERFORMANCE
32,snapdragon,B-PERFORMANCE
32,7,I-PERFORMANCE
32,plus,I-PERFORMANCE
32,gen,I-PERFORMANCE
32,3,I-PERFORMANCE
33,exynos,B-PERFORMANCE
33,9610,I-PERFORMANCE
35,dimensity,B-PERFORMANCE
35,1050,I-PERFORMANCE
36,snapdragon,B-PERFORMANCE
36,675,I-PERFORMANCE
37,snapdragon,B-PERFORMANCE
37,460,I-PERFORMANCE
38,exynos,B-PERFORMANCE
38,8890,I-PERFORMANCE
39,snapdragon,B-PERFORMANCE
39,430,I-PERFORMANCE
40,dimensity,B-PERFORMANCE
40,9000,I-PERFORMANCE
40,plus,I-PERFORMANCE
41,helio,B-PERFORMANCE
41,g70,I-PERFORMANCE
42,exynos,B-PERFORMANCE
42,9820,I-PERFORMANCE
43,exynos,B-PERFORMANCE
43,7884b,I-PERFORMANCE
44,snapdragon,B-PERFORMANCE
44,660,I-PERFORMANCE
46,snapdragon,B-PERFORMANCE
46,888,I-PERFORMANCE
47,dimensity,B-PERFORMANCE
47,1200,I-PERFORMANCE
48,helio,B-PERFORMANCE
48,p70,I-PERFORMANCE
49,snapdragon,B-PERFORMANCE
49,782g,I-PERFORMANCE
50,exynos,B-PERFORMANCE
50,9825,I-PERFORMANCE
51,kirin,B-PERFORMANCE
51,710a,I-PERFORMANCE
52,exynos,B-PERFORMANCE
52,7870,I-PERFORMANCE
53,snapdragon,B-PERFORMANCE
54,exynos,B-PERFORMANCE
54,2400,I-PERFORMANCE
55,m1,B-PERFORMANCE
57,snapdragon,B-PERFORMANCE
57,665,I-PERFORMANCE
58,dimensity,B-PERFORMANCE
58,7025,I-PERFORMANCE
59,snapdragon,B-PERFORMANCE
59,439,I-PERFORMANCE
60,snapdragon,B-PERFORMANCE
60,678,I-PERFORMANCE
61,helio,B-PERFORMANCE
61,g80,I-PERFORMANCE
62,snapdragon,B-PERFORMANCE
62,450,I-PERFORMANCE
63,snapdragon,B-PERFORMANCE
63,712,I-PERFORMANCE
64,snapdragon,B-PERFORMANCE
64,435,I-PERFORMANCE
65,snapdragon,B-PERFORMANCE
65,855,I-PERFORMANCE
66,snapdragon,B-PERFORMANCE
66,808,I-PERFORMANCE
68,unisoc,B-PERFORMANCE
68,t820,I-PERFORMANCE
69,exynos,B-PERFORMANCE
69,1480,I-PERFORMANCE
70,dimensity,B-PERFORMANCE
70,8200,I-PERFORMANCE
71,dimensity,B-PERFORMANCE
71,9000,I-PERFORMANCE
72,snapdragon,B-PERFORMANCE
72,730g,I-PERFORMANCE
73,dimensity,B-PERFORMANCE
73,1000,I-PERFORMANCE
73,plus,I-PERFORMANCE
74,snapdragon,B-PERFORMANCE
74,630,I-PERFORMANCE
75,kirin,B-PERFORMANCE
75,980,I-PERFORMANCE
76,snapdragon,B-PERFORMANCE
76,810,I-PERFORMANCE
77,tensor,B-PERFORMANCE
77,g2,I-PERFORMANCE
79,dimensity,B-PERFORMANCE
79,8050,I-PERFORMANCE
80,exynos,B-PERFORMANCE
80,9810,I-PERFORMANCE
81,kirin,B-PERFORMANCE
81,710,I-PERFORMANCE
82,snapdragon,B-PERFORMANCE
82,710,I-PERFORMANCE
83,a11,B-PERFORMANCE
83,bionic,I-PERFORMANCE
84,helio,B-PERFORMANCE
84,p35,I-PERFORMANCE
85,exynos,B-PERFORMANCE
85,7904,I-PERFORMANCE
86,exynos,B-PERFORMANCE
86,980,I-PERFORMANCE
87,dimensity,B-PERFORMANCE
87,920,I-PERFORMANCE
88,dimensity,B-PERFORMANCE
88,6100,I-PERFORMANCE
88,plus,I-PERFORMANCE
90,kirin,B-PERFORMANCE
90,980,I-PERFORMANCE
91,helio,B-PERFORMANCE
91,g80,I-PERFORMANCE
92,snapdragon,B-PERFORMANCE
92,480,I-PERFORMANCE
93,snapdragon,B-PERFORMANCE
93,625,I-PERFORMANCE
94,helio,B-PERFORMANCE
94,g95,I-PERFORMANCE
95,helio,B-PERFORMANCE
95,p22,I-PERFORMANCE
96,snapdragon,B-PERFORMANCE
96,750g,I-PERFORMANCE
97,exynos,B-PERFORMANCE
97,9611,I-PERFORMANCE
98,dimensity,B-PERFORMANCE
98,930,I-PERFORMANCE
99,exynos,B-PERFORMANCE
99,2200,I-PERFORMANCE
101,exynos,B-PERFORMANCE
101,850,I-PERFORMANCE
102,snapdragon,B-PERFORMANCE
102,685,I-PERFORMANCE
103,exynos,B-PERFORMANCE
103,9610,I-PERFORMANCE
104,snapdragon,B-PERFORMANCE
104,855,I-PERFORMANCE
105,tiger,B-PERFORMANCE
105,t610,I-PERFORMANCE
106,snapdragon,B-PERFORMANCE
106,662,I-PERFORMANCE
107,dimensity,B-PERFORMANCE
107,6080,I-PERFORMANCE
108,kirin,B-PERFORMANCE
108,970,I-PERFORMANCE
109,exynos,B-PERFORMANCE
109,990,I-PERFORMANCE
110,dimensity,B-PERFORMANCE
110,6020,I-PERFORMANCE
113,a10,B-PERFORMANCE
113,fusion,I-PERFORMANCE
114,snapdragon,B-PERFORMANCE
114,821,I-PERFORMANCE
115,snapdragon,B-PERFORMANCE
115,845,I-PERFORMANCE
116,helio,B-PERFORMANCE
116,g99,I-PERFORMANCE
117,snapdragon,B-PERFORMANCE
117,712,I-PERFORMANCE
118,helio,B-PERFORMANCE
118,g85,I-PERFORMANCE
119,dimensity,B-PERFORMANCE
119,8020,I-PERFORMANCE
120,dimensity,B-PERFORMANCE
120,7200,I-PERFORMANCE
120,ultra,I-PERFORMANCE
121,exynos,B-PERFORMANCE
121,8890,I-PERFORMANCE
122,snapdragon,B-PERFORMANCE
122,670,I-PERFORMANCE
124,a17,B-PERFORMANCE
124,pro,I-PERFORMANCE
125,snapdragon,B-PERFORMANCE
125,888,I-PERFORMANCE
126,exynos,B-PERFORMANCE
126,8895,I-PERFORMANCE
127,a8x,B-PERFORMANCE
128,dimensity,B-PERFORMANCE
128,900,I-PERFORMANCE
129,tiger,B-PERFORMANCE
129,t700,I-PERFORMANCE
130,dimensity,B-PERFORMANCE
130,1100,I-PERFORMANCE
131,snapdragon,B-PERFORMANCE
131,720g,I-PERFORMANCE
132,a9x,B-PERFORMANCE
133,snapdragon,B-PERFORMANCE
133,690,I-PERFORMANCE
135,exynos,B-PERFORMANCE
135,1380,I-PERFORMANCE
136,helio,B-PERFORMANCE
136,g90t,I-PERFORMANCE
137,snapdragon,B-PERFORMANCE
137,662,I-PERFORMANCE
138,kirin,B-PERFORMANCE
138,990,I-PERFORMANCE
139,exynos,B-PERFORMANCE
139,9825,I-PERFORMANCE
140,a15,B-PERFORMANCE
140,bionic,I-PERFORMANCE
141,snapdragon,B-PERFORMANCE
141,695,I-PERFORMANCE
142,helio,B-PERFORMANCE
142,g95,I-PERFORMANCE
143,exynos,B-PERFORMANCE
143,850,I-PERFORMANCE
144,a12z,B-PERFORMANCE
144,bionic,I-PERFORMANCE
