cpu_name,tag
kirin 9000,B-performance I-performance 
snapdragon 7 gen 1,B-performance I-performance I-performance I-performance 
snapdragon 780g,B-performance I-performance 
snapdragon 730,B-performance I-performance 
helio p95,B-performance I-performance 
tiger t612,B-performance I-performance 
helio g96,B-performance I-performance 
exynos 980,B-performance I-performance 
a14 bionic,B-performance I-performance 
kirin 710f,B-performance I-performance 
kirin 810,B-performance I-performance 
snapdragon 780g,B-performance I-performance 
snapdragon 4 gen 1,B-performance I-performance I-performance I-performance 
snapdragon 8 gen 3,B-performance I-performance I-performance I-performance 
snapdragon 730,B-performance I-performance 
exynos 7884,B-performance I-performance 
unisoc t606,B-performance I-performance 
a15 bionic,B-performance I-performance 
snapdragon 636,B-performance I-performance 
snapdragon 765g,B-performance I-performance 
snapdragon 778g,B-performance I-performance 
a10x fusion,B-performance I-performance 
a12 bionic,B-performance I-performance 
snapdragon 820,B-performance I-performance 
snapdragon 865 plus,B-performance I-performance I-performance 
exynos 7885,B-performance I-performance 
tiger t616,B-performance I-performance 
dimensity 7200,B-performance I-performance 
dimensity 800,B-performance I-performance 
helio g37,B-performance I-performance 
kirin 710,B-performance I-performance 
snapdragon 855 plus,B-performance I-performance I-performance 
snapdragon 675,B-performance I-performance 
snapdragon 7 gen 2,B-performance I-performance I-performance I-performance 
dimensity,B-performance I-performance 
a16 bionic,B-performance I-performance 
kirin 9010,B-performance I-performance 
dimensity 6300,B-performance I-performance 
snapdragon 730g,B-performance I-performance 
a11 bionic,B-performance I-performance 
exynos 990,B-performance I-performance 
kirin 990 5g,B-performance I-performance I-performance I-performance I-performance 
exynos 1330,B-performance I-performance 
dimensity 1080,B-performance I-performance 
a14 bionic,B-performance I-performance 
snapdragon 480 plus,B-performance I-performance I-performance 
a12x bionic,B-performance I-performance 
tensor,B-performance 
snapdragon 7 gen 3,B-performance I-performance I-performance I-performance 
tegra x1,B-performance I-performance 
snapdragon 680,B-performance I-performance 
a13 bionic,B-performance I-performance 
snapdragon 7 plus gen 3,B-performance I-performance I-performance I-performance I-performance 
exynos 9610,B-performance I-performance 
dimensity 1050,B-performance I-performance 
snapdragon 675,B-performance I-performance 
snapdragon 460,B-performance I-performance 
exynos 8890,B-performance I-performance 
snapdragon 430,B-performance I-performance 
dimensity 9000 plus,B-performance I-performance I-performance 
helio g70,B-performance I-performance 
exynos 9820,B-performance I-performance 
exynos 7884b,B-performance I-performance 
snapdragon 660,B-performance I-performance 
snapdragon 888,B-performance I-performance 
dimensity 1200,B-performance I-performance 
helio p70,B-performance I-performance 
snapdragon 782g,B-performance I-performance 
exynos 9825,B-performance I-performance 
kirin 710a,B-performance I-performance 
exynos 7870,B-performance I-performance 
snapdragon,B-performance I-performance 
exynos 2400,B-performance I-performance 
m1,B-performance 
snapdragon 665,B-performance I-performance 
dimensity 7025,B-performance I-performance 
snapdragon 439,B-performance I-performance 
snapdragon 678,B-performance I-performance 
helio g80,B-performance I-performance 
snapdragon 450,B-performance I-performance 
snapdragon 712,B-performance I-performance 
snapdragon 435,B-performance I-performance 
snapdragon 855,B-performance I-performance 
snapdragon 808,B-performance I-performance 
unisoc t820,B-performance I-performance 
exynos 1480,B-performance I-performance 
dimensity 8200,B-performance I-performance 
dimensity 9000,B-performance I-performance 
snapdragon 730g,B-performance I-performance 
dimensity 1000 plus,B-performance I-performance I-performance 
snapdragon 630,B-performance I-performance 
kirin 980,B-performance I-performance 
snapdragon 810,B-performance I-performance 
tensor g2,B-performance I-performance 
dimensity 8050,B-performance I-performance 
exynos 9810,B-performance I-performance 
kirin 710,B-performance I-performance 
snapdragon 710,B-performance I-performance 
a11 bionic,B-performance I-performance 
helio p35,B-performance I-performance 
exynos 7904,B-performance I-performance 
exynos 980,B-performance I-performance 
dimensity 920,B-performance I-performance 
dimensity 6100 plus,B-performance I-performance I-performance 
kirin 980,B-performance I-performance 
helio g80,B-performance I-performance 
snapdragon 480,B-performance I-performance 
snapdragon 625,B-performance I-performance 
helio g95,B-performance I-performance 
helio p22,B-performance I-performance 
snapdragon 750g,B-performance I-performance 
exynos 9611,B-performance I-performance 
dimensity 930,B-performance I-performance 
exynos 2200,B-performance I-performance 
exynos 850,B-performance I-performance 
snapdragon 685,B-performance I-performance 
exynos 9610,B-performance I-performance 
snapdragon 855,B-performance I-performance 
tiger t610,B-performance I-performance 
snapdragon 662,B-performance I-performance 
dimensity 6080,B-performance I-performance 
kirin 970,B-performance I-performance 
exynos 990,B-performance I-performance 
dimensity 6020,B-performance I-performance 
a10 fusion,B-performance I-performance 
snapdragon 821,B-performance I-performance 
snapdragon 845,B-performance I-performance 
helio g99,B-performance I-performance 
snapdragon 712,B-performance I-performance 
helio g85,B-performance I-performance 
dimensity 8020,B-performance I-performance 
dimensity 7200 ultra,B-performance I-performance I-performance 
exynos 8890,B-performance I-performance 
snapdragon 670,B-performance I-performance 
a17 pro,B-performance I-performance 
snapdragon 888,B-performance I-performance 
exynos 8895,B-performance I-performance 
a8x,B-performance 
dimensity 900,B-performance I-performance 
tiger t700,B-performance I-performance 
dimensity 1100,B-performance I-performance 
snapdragon 720g,B-performance I-performance 
a9x,B-performance 
snapdragon 690,B-performance I-performance 
exynos 1380,B-performance I-performance 
helio g90t,B-performance I-performance 
snapdragon 662,B-performance I-performance 
kirin 990,B-performance I-performance 
exynos 9825,B-performance I-performance 
a15 bionic,B-performance I-performance 
snapdragon 695,B-performance I-performance 
helio g95,B-performance I-performance 
exynos 850,B-performance I-performance 
a12z bionic,B-performance I-performance 
